"file","generated_at","query","profile","retrieval","selected_attempt","selected_token_budget","selected_top_k","context_tokens_used","context_token_budget","output_length","selected_useful","selected_failed","failure_reason","context_tokens_present","token_savings_vs_2200_budget","token_savings_vs_2200_used","auto_scope"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-21T17:41:05.0553251+03:00","NPCManager createNPC","code","hybrid","1","900","8","129","900","814","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-21T17:41:05.6178397+03:00","QuestTemplateSelector progression objective","code","hybrid","1","900","8","516","900","2725","True","False","","True","1300","1684","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-21T17:41:06.1472039+03:00","ScenarioEngine progression selector","code","hybrid","1","900","8","129","900","850","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-21T17:42:43.4215520+03:00","NPCManager createNPC","code","hybrid","1","900","8","129","900","814","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-21T17:42:43.9826110+03:00","QuestTemplateSelector progression objective","code","hybrid","1","900","8","516","900","2725","True","False","","True","1300","1684","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-21T17:42:44.4951990+03:00","ScenarioEngine progression selector","code","hybrid","1","900","8","129","900","850","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-22T05:43:09.8208372+03:00","NPCManager createNPC","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-22T05:43:13.6607163+03:00","QuestTemplateSelector progression objective","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-22T05:43:16.4087190+03:00","ScenarioEngine progression selector","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-22T17:08:25.1151355+03:00","NPCManager createNPC","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-22T17:08:26.0351367+03:00","QuestTemplateSelector progression objective","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-22T17:08:26.8761358+03:00","ScenarioEngine progression selector","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-23T09:48:41.0059912+03:00","NPCManager createNPC","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-23T09:48:45.0863106+03:00","QuestTemplateSelector progression objective","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-23T09:48:48.2592668+03:00","ScenarioEngine progression selector","code","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-25T19:15:23.7546576+03:00","NPCManager createNPC","code","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-25T19:15:24.4119204+03:00","QuestTemplateSelector progression objective","code","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-25T19:15:25.0249100+03:00","ScenarioEngine progression selector","code","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-26T06:14:28.4309050+03:00","NPCManager createNPC","code","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-26T06:14:29.0414893+03:00","QuestTemplateSelector progression objective","code","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-26T06:14:29.5884884+03:00","ScenarioEngine progression selector","code","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-27T06:19:23.1095238+03:00","NPCManager createNPC","code","hybrid","1","900","8","129","900","814","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-27T06:19:23.6993012+03:00","QuestTemplateSelector progression objective","code","hybrid","1","900","8","645","900","3334","True","False","","True","1300","1555","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-27T06:19:24.1855975+03:00","ScenarioEngine progression selector","code","hybrid","1","900","8","129","900","850","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-28T07:21:35.9606669+03:00","NPCManager createNPC","code","hybrid","1","900","8","129","900","814","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-28T07:21:36.6072964+03:00","QuestTemplateSelector progression objective","code","hybrid","1","900","8","645","900","3335","True","False","","True","1300","1555","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-28T07:21:37.1651493+03:00","ScenarioEngine progression selector","code","hybrid","1","900","8","129","900","850","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-29T19:53:26.2843134+03:00","NPCManager createNPC","code","hybrid","1","900","8","129","900","814","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-29T19:53:26.8402084+03:00","QuestTemplateSelector progression objective","code","hybrid","1","900","8","645","900","3335","True","False","","True","1300","1555","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-29T19:53:27.3422591+03:00","ScenarioEngine progression selector","code","hybrid","1","900","8","129","900","850","True","False","","True","1300","2071","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\code\mcp-context-nightly-summary-code.jsonl","2026-05-30T09:58:04.2786645+03:00","NPCManager createNPC","code","hybrid","1","900","8","129","900","814","True","False","","True","1300","2071","True"
