"file","generated_at","query","profile","retrieval","selected_attempt","selected_token_budget","selected_top_k","context_tokens_used","context_token_budget","output_length","selected_useful","selected_failed","failure_reason","context_tokens_present","token_savings_vs_2200_budget","token_savings_vs_2200_used","auto_scope"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-21T17:41:06.8901673+03:00","quest debugdump anchors audit","debug","hybrid","1","900","8","622","900","2945","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-21T17:41:07.4546712+03:00","story context state events debug","debug","hybrid","1","900","8","493","900","2242","True","False","","True","1300","1707","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-21T17:41:07.9608816+03:00","spawn audit duplicate npc investigate","debug","hybrid","1","900","8","622","900","2961","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-21T17:42:45.2520481+03:00","quest debugdump anchors audit","debug","hybrid","1","900","8","622","900","2945","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-21T17:42:45.7620842+03:00","story context state events debug","debug","hybrid","1","900","8","493","900","2242","True","False","","True","1300","1707","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-21T17:42:46.2901851+03:00","spawn audit duplicate npc investigate","debug","hybrid","1","900","8","622","900","2961","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-22T05:43:17.5320579+03:00","quest debugdump anchors audit","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-22T05:43:18.3550536+03:00","story context state events debug","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-22T05:43:19.1720262+03:00","spawn audit duplicate npc investigate","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-22T17:08:27.9932799+03:00","quest debugdump anchors audit","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-22T17:08:28.8060772+03:00","story context state events debug","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-22T17:08:29.5971364+03:00","spawn audit duplicate npc investigate","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-23T09:48:50.5640227+03:00","quest debugdump anchors audit","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-23T09:48:52.5035715+03:00","story context state events debug","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-23T09:48:54.3066517+03:00","spawn audit duplicate npc investigate","debug","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-25T19:15:25.9508526+03:00","quest debugdump anchors audit","debug","hybrid","2","1400","12",,,"286","False","True","missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-25T19:15:26.5155666+03:00","story context state events debug","debug","hybrid","2","1400","12",,,"286","False","True","missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-25T19:15:27.0957314+03:00","spawn audit duplicate npc investigate","debug","hybrid","2","1400","12",,,"286","False","True","missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-26T06:14:30.4935634+03:00","quest debugdump anchors audit","debug","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-26T06:14:31.0587918+03:00","story context state events debug","debug","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-26T06:14:31.6837915+03:00","spawn audit duplicate npc investigate","debug","hybrid","2","1400","12",,,"286","False","True","below-min-chars","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-27T06:19:25.0638429+03:00","quest debugdump anchors audit","debug","hybrid","1","900","8","622","900","2946","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-27T06:19:25.5601351+03:00","story context state events debug","debug","hybrid","1","900","8","493","900","2242","True","False","","True","1300","1707","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-27T06:19:26.0435635+03:00","spawn audit duplicate npc investigate","debug","hybrid","1","900","8","622","900","2974","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-28T07:21:38.1982319+03:00","quest debugdump anchors audit","debug","hybrid","1","900","8","622","900","2946","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-28T07:21:38.7686662+03:00","story context state events debug","debug","hybrid","1","900","8","493","900","2242","True","False","","True","1300","1707","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-28T07:21:39.3346605+03:00","spawn audit duplicate npc investigate","debug","hybrid","1","900","8","622","900","2974","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-29T19:53:28.2621525+03:00","quest debugdump anchors audit","debug","hybrid","1","900","8","622","900","2946","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-29T19:53:28.7535689+03:00","story context state events debug","debug","hybrid","1","900","8","493","900","2242","True","False","","True","1300","1707","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-29T19:53:29.2537228+03:00","spawn audit duplicate npc investigate","debug","hybrid","1","900","8","622","900","2974","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-30T09:58:06.2703183+03:00","quest debugdump anchors audit","debug","hybrid","1","900","8","622","900","2946","True","False","","True","1300","1578","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\debug\mcp-context-nightly-summary-debug.jsonl","2026-05-30T09:58:06.7771180+03:00","story context state events debug","debug","hybrid","1","900","8","493","900","2242","True","False","","True","1300","1707","True"
