"file","generated_at","query","profile","retrieval","selected_attempt","selected_token_budget","selected_top_k","context_tokens_used","context_token_budget","output_length","selected_useful","selected_failed","failure_reason","context_tokens_present","token_savings_vs_2200_budget","token_savings_vs_2200_used","auto_scope"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-21T17:42:46.8543733+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2861","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-21T17:42:47.3539551+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-21T17:42:47.8804694+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1843","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-22T05:43:20.0316792+03:00","roadmap faze prioritati","planning","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-22T05:43:20.8570857+03:00","mcp docker server mvp faze","planning","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-22T05:43:21.6490866+03:00","release checklist gate-uri","planning","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-22T17:08:30.4287453+03:00","roadmap faze prioritati","planning","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-22T17:08:31.3630431+03:00","mcp docker server mvp faze","planning","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-22T17:08:32.1670400+03:00","release checklist gate-uri","planning","hybrid","3","2200","14",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-23T09:48:54.9881893+03:00","roadmap faze prioritati","planning","hybrid","1","900","8",,,"286","False","True","legacy-missing-token-metadata","False",,,"True"
